Financial Year,Type of flow,Country,Sector,Sector Name,Expense $'000
2015/16,ODA,Burundi,24040,Informal/semi-formal financial intermediaries,262
2015/16,ODA,Burundi,31182,Agricultural research,46.3
2015/16,ODA,Cambodia,21020,Road transport,11000
2015/16,ODA,Cambodia,21030,Rail transport,121.7
2015/16,ODA,Cambodia,22030,Radio/television/print media,45.8
2015/16,ODA,Cambodia,22040,Information and communication technology (ICT),22.9
2015/16,ODA,Cambodia,23630,Electrical transmission/distribution,1519
2015/16,ODA,Cambodia,24010,Financial policy and administrative management,486.7
2015/16,ODA,Cambodia,24040,Informal/semi-formal financial intermediaries,532.8
2015/16,ODA,Cambodia,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Cambodia,25010,Business support services and institutions,535.2
2015/16,ODA,Cambodia,31110,Agricultural policy and administrative management,8710.2
2015/16,ODA,Cambodia,31120,Agricultural development,3677.9
2015/16,ODA,Cambodia,31130,Agricultural land resources,11.4
2015/16,ODA,Cambodia,31150,Agricultural inputs,362.4
2015/16,ODA,Cambodia,31161,Food crop production,45.7
2015/16,ODA,Cambodia,31166,Agricultural extension,953.1
2015/16,ODA,Cambodia,31181,Agricultural education/training,92
2015/16,ODA,Cambodia,31182,Agricultural research,2296.8
2015/16,ODA,Cambodia,31193,Agricultural financial services,33.9
2015/16,ODA,Cambodia,31194,Agricultural co-operatives,713.9
2015/16,ODA,Cambodia,32110,Industrial policy and administrative management,22.9
2015/16,ODA,Cambodia,32120,Industrial development,11.4
2015/16,ODA,Cambodia,32130,Small and medium-sized enterprises (SME) development,43.1
2015/16,ODA,Cambodia,32140,Cottage industries and handicraft,68.8
2015/16,ODA,Cambodia,32161,Agro-industries,22.9
2015/16,ODA,Cambodia,33110,Trade policy and administrative management,964.5
2015/16,ODA,Cambodia,33181,Trade education/training,3.7
2015/16,ODA,Cameroon,31182,Agricultural research,25.2
2015/16,ODA,Cape Verde,31181,Agricultural education/training,13.3
2015/16,ODA,Cape Verde,31182,Agricultural research,3.6
2015/16,ODA,Cape Verde,31391,Fishery services,8.1
2015/16,ODA,Chile,25010,Business support services and institutions,16.6
2015/16,ODA,Chile,31120,Agricultural development,16.4
2015/16,ODA,Chile,32130,Small and medium-sized enterprises (SME) development,4.1
2015/16,ODA,Chile,32210,Mineral/mining policy and administrative management,2.6
2015/16,ODA,Chile,33120,Trade facilitation,24.4
2015/16,ODA,China,25010,Business support services and institutions,16.6
2015/16,ODA,China,31182,Agricultural research,834.2
2015/16,ODA,China,32130,Small and medium-sized enterprises (SME) development,4.1
2015/16,ODA,China,32210,Mineral/mining policy and administrative management,2.6
2015/16,ODA,China,33120,Trade facilitation,24.4
2015/16,ODA,Colombia,31162,Industrial crops/export crops,22.5
2015/16,ODA,"Congo, Dem. Rep.",31182,Agricultural research,25.2
2015/16,ODA,"Congo, Dem. Rep.",32210,Mineral/mining policy and administrative management,50.4
2015/16,ODA,Cote D'ivoire,31120,Agricultural development,47
2015/16,ODA,Cote D'ivoire,31161,Food crop production,9.7
2015/16,ODA,Cote D'ivoire,32210,Mineral/mining policy and administrative management,280.5
2015/16,ODA,Dominica,31150,Agricultural inputs,28.9
2015/16,ODA,Dominica,31163,Livestock,9.5
2015/16,ODA,Ecuador,31120,Agricultural development,19.5
2015/16,ODA,Egypt,31120,Agricultural development,62.3
2015/16,ODA,Eritrea,31182,Agricultural research,4.8
2015/16,ODA,Ethiopia,22010,Communications policy and administrative management,27.9
2015/16,ODA,Ethiopia,22040,Information and communication technology (ICT),55.8
2015/16,ODA,Ethiopia,31120,Agricultural development,125.7
2015/16,ODA,Ethiopia,31161,Food crop production,20.4
2015/16,ODA,Ethiopia,31163,Livestock,40.8
2015/16,ODA,Ethiopia,31181,Agricultural education/training,27.9
2015/16,ODA,Ethiopia,31182,Agricultural research,2188.7
2015/16,ODA,Ethiopia,31220,Forestry development,27.9
2015/16,ODA,Ethiopia,31282,Forestry research,20.4
2015/16,ODA,Ethiopia,32110,Industrial policy and administrative management,61.1
2015/16,ODA,Ethiopia,32210,Mineral/mining policy and administrative management,200.3
2015/16,ODA,Far East Asia Unspecified,33110,Trade policy and administrative management,1929
2015/16,ODA,Far East Asia Unspecified,33120,Trade facilitation,270
2015/16,ODA,Far East Asia Unspecified,33130,Regional trade agreements (RTAs),3742.7
2015/16,ODA,Fiji,21010,Transport policy and administrative management,31.4
2015/16,ODA,Fiji,22010,Communications policy and administrative management,39.9
2015/16,ODA,Fiji,22040,Information and communication technology (ICT),39.9
2015/16,ODA,Fiji,23110,Energy policy and administrative management,1500
2015/16,ODA,Fiji,24010,Financial policy and administrative management,65.6
2015/16,ODA,Fiji,24040,Informal/semi-formal financial intermediaries,2566.2
2015/16,ODA,Fiji,24081,Education/training in banking and financial services,48.5
2015/16,ODA,Fiji,25010,Business support services and institutions,1044.2
2015/16,ODA,Fiji,31120,Agricultural development,125.7
2015/16,ODA,Fiji,31130,Agricultural land resources,91
2015/16,ODA,Fiji,31161,Food crop production,39.9
2015/16,ODA,Fiji,31181,Agricultural education/training,134.3
2015/16,ODA,Fiji,31182,Agricultural research,2048.6
2015/16,ODA,Fiji,31194,Agricultural co-operatives,243.4
2015/16,ODA,Fiji,32130,Small and medium-sized enterprises (SME) development,2881.5
2015/16,ODA,Fiji,32140,Cottage industries and handicraft,39.9
2015/16,ODA,Fiji,33110,Trade policy and administrative management,716.4
2015/16,ODA,Fiji,33120,Trade facilitation,32.5
2015/16,ODA,Ghana,31110,Agricultural policy and administrative management,0.9
2015/16,ODA,Ghana,31165,Agricultural alternative development,5.3
2015/16,ODA,Ghana,31182,Agricultural research,17.9
2015/16,ODA,Global Unspecified,21010,Transport policy and administrative management,6659.6
2015/16,ODA,Global Unspecified,21020,Road transport,37752.5
2015/16,ODA,Global Unspecified,21030,Rail transport,2882
2015/16,ODA,Global Unspecified,21040,Water transport,1953.7
2015/16,ODA,Global Unspecified,21050,Air transport,2305.7
2015/16,ODA,Global Unspecified,21061,Storage,50.5
2015/16,ODA,Global Unspecified,21081,Education and training in transport and storage,0.4
2015/16,ODA,Global Unspecified,22010,Communications policy and administrative management,2480.7
2015/16,ODA,Global Unspecified,22020,Telecommunications,661.4
2015/16,ODA,Global Unspecified,22030,Radio/television/print media,1.7
2015/16,ODA,Global Unspecified,22040,Information and communication technology (ICT),654.8
2015/16,ODA,Global Unspecified,23110,Energy policy and administrative management,23052.3
2015/16,ODA,Global Unspecified,23181,Energy education/training,456.4
2015/16,ODA,Global Unspecified,23210,Power generation/renewable sources,2329.2
2015/16,ODA,Global Unspecified,23220,Hydro-electric power plants,4095.8
2015/16,ODA,Global Unspecified,23230,Solar energy,1090.1
2015/16,ODA,Global Unspecified,23240,Wind power,93.8
2015/16,ODA,Global Unspecified,23260,Geothermal energy,418.5
2015/16,ODA,Global Unspecified,23270,Biofuel-fired power plants,157.7
2015/16,ODA,Global Unspecified,23310,Power generation/non-renewable sources,731.7
2015/16,ODA,Global Unspecified,23330,Oil-fired power plants,0.2
2015/16,ODA,Global Unspecified,23340,Gas-fired power plants,986.2
2015/16,ODA,Global Unspecified,23510,Nucear power plants,0.5
2015/16,ODA,Global Unspecified,23620,District heating and cooling,7
2015/16,ODA,Global Unspecified,23630,Electrical transmission/distribution,13486.2
2015/16,ODA,Global Unspecified,23640,Gas distribution,323.4
2015/16,ODA,Global Unspecified,24010,Financial policy and administrative management,8854.1
2015/16,ODA,Global Unspecified,24020,Monetary institutions,201.9
2015/16,ODA,Global Unspecified,24030,Formal sector financial intermediaries,17986.8
2015/16,ODA,Global Unspecified,24040,Informal/semi-formal financial intermediaries,4015.7
2015/16,ODA,Global Unspecified,24081,Education/training in banking and financial services,39.1
2015/16,ODA,Global Unspecified,25010,Business support services and institutions,15243.7
2015/16,ODA,Global Unspecified,25020,Privatisation,760.1
2015/16,ODA,Global Unspecified,31110,Agricultural policy and administrative management,7014.8
2015/16,ODA,Global Unspecified,31120,Agricultural development,5044.6
2015/16,ODA,Global Unspecified,31130,Agricultural land resources,2259.9
2015/16,ODA,Global Unspecified,31140,Agricultural water resources,9794.8
2015/16,ODA,Global Unspecified,31150,Agricultural inputs,655.8
2015/16,ODA,Global Unspecified,31161,Food crop production,1830
2015/16,ODA,Global Unspecified,31162,Industrial crops/export crops,412.2
2015/16,ODA,Global Unspecified,31163,Livestock,1462.9
2015/16,ODA,Global Unspecified,31166,Agricultural extension,670.5
2015/16,ODA,Global Unspecified,31181,Agricultural education/training,200.1
2015/16,ODA,Global Unspecified,31182,Agricultural research,31962
2015/16,ODA,Global Unspecified,31191,Agricultural services,1196.9
2015/16,ODA,Global Unspecified,31192,Plant and post-harvest protection and pest control,275.3
2015/16,ODA,Global Unspecified,31193,Agricultural financial services,792.1
2015/16,ODA,Global Unspecified,31194,Agricultural co-operatives,629.7
2015/16,ODA,Global Unspecified,31195,Livestock/veterinary services,129.6
2015/16,ODA,Global Unspecified,31210,Forestry policy and administrative management,82.1
2015/16,ODA,Global Unspecified,31220,Forestry development,672
2015/16,ODA,Global Unspecified,31261,Fuelwood/charcoal,17.1
2015/16,ODA,Global Unspecified,31310,Fishing policy and administrative management,370.8
2015/16,ODA,Global Unspecified,31320,Fishery development,290.2
2015/16,ODA,Global Unspecified,31381,Fishery education/training,27.7
2015/16,ODA,Global Unspecified,31382,Fishery research,7.7
2015/16,ODA,Global Unspecified,32110,Industrial policy and administrative management,563.6
2015/16,ODA,Global Unspecified,32120,Industrial development,237.4
2015/16,ODA,Global Unspecified,32130,Small and medium-sized enterprises (SME) development,2601.8
2015/16,ODA,Global Unspecified,32161,Agro-industries,984.7
2015/16,ODA,Global Unspecified,32162,Forest industries,4.1
2015/16,ODA,Global Unspecified,32163,"Textiles, leather and substitutes",2.6
2015/16,ODA,Global Unspecified,32168,Pharmaceutical production,2.2
2015/16,ODA,Global Unspecified,32182,Technological research and development,39.1
2015/16,ODA,Global Unspecified,32210,Mineral/mining policy and administrative management,2867.8
2015/16,ODA,Global Unspecified,32220,Mineral prospection and exploration,61.2
2015/16,ODA,Global Unspecified,32262,Oil and gas,1187
2015/16,ODA,Global Unspecified,32263,Ferrous metals,19.1
2015/16,ODA,Global Unspecified,32265,Precious metals/materials,9.2
2015/16,ODA,Global Unspecified,33110,Trade policy and administrative management,1353.2
2015/16,ODA,Global Unspecified,33120,Trade facilitation,8446.3
2015/16,ODA,Global Unspecified,33130,Regional trade agreements (RTAs),46.8
2015/16,ODA,Global Unspecified,33140,Multilateral trade negotiations,500
2015/16,ODA,Global Unspecified,33181,Trade education/training,1248
2015/16,ODA,Global Unspecified,33210,Tourism policy and administrative management,952.5
2015/16,ODA,Guinea-Bissau,31140,Agricultural water resources,6.6
2015/16,ODA,India,22040,Information and communication technology (ICT),44.9
2015/16,ODA,India,23010,Energy policy and administrative management,720
2015/16,ODA,India,31120,Agricultural development,2281.9
2015/16,ODA,India,31161,Food crop production,27.6
2015/16,ODA,India,31182,Agricultural research,1837.7
2015/16,ODA,India,31320,Fishery development,33.8
2015/16,ODA,India,32140,Cottage industries and handicraft,53.3
2015/16,ODA,India,32161,Agro-industries,13.3
2015/16,ODA,India,33110,Trade policy and administrative management,68.9
2015/16,ODA,India,33120,Trade facilitation,1640.4
2015/16,ODA,India,33122,"Trade customs duties, tariffs and levies",182
2015/16,ODA,Indonesia,21010,Transport policy and administrative management,4542.7
2015/16,ODA,Indonesia,21020,Road transport,17017.1
2015/16,ODA,Indonesia,21040,Water transport,54
2015/16,ODA,Indonesia,22010,Communications policy and administrative management,97.8
2015/16,ODA,Indonesia,22030,Radio/television/print media,117.4
2015/16,ODA,Indonesia,22040,Information and communication technology (ICT),139.5
2015/16,ODA,Indonesia,23110,Energy policy and administrative management,1657.7
2015/16,ODA,Indonesia,24010,Financial policy and administrative management,1359.5
2015/16,ODA,Indonesia,24040,Informal/semi-formal financial intermediaries,948.4
2015/16,ODA,Indonesia,24081,Education/training in banking and financial services,3634.2
2015/16,ODA,Indonesia,25010,Business support services and institutions,1430.5
2015/16,ODA,Indonesia,31110,Agricultural policy and administrative management,2288.2
2015/16,ODA,Indonesia,31120,Agricultural development,17219.5
2015/16,ODA,Indonesia,31130,Agricultural land resources,31.3
2015/16,ODA,Indonesia,31140,Agricultural water resources,30.3
2015/16,ODA,Indonesia,31161,Food crop production,298.5
2015/16,ODA,Indonesia,31166,Agricultural extension,46.5
2015/16,ODA,Indonesia,31181,Agricultural education/training,73.4
2015/16,ODA,Indonesia,31182,Agricultural research,5465.1
2015/16,ODA,Indonesia,31195,Livestock/veterinary services,2370.7
2015/16,ODA,Indonesia,31210,Forestry policy and administrative management,71
2015/16,ODA,Indonesia,31282,Forestry research,24.4
2015/16,ODA,Indonesia,31320,Fishery development,48.9
2015/16,ODA,Indonesia,31381,Fishery education/training,24.4
2015/16,ODA,Indonesia,32130,Small and medium-sized enterprises (SME) development,82.7
2015/16,ODA,Indonesia,32162,Forest industries,24.4
2015/16,ODA,Indonesia,32182,Technological research and development,146.8
2015/16,ODA,Indonesia,32210,Mineral/mining policy and administrative management,315.6
2015/16,ODA,Indonesia,33110,Trade policy and administrative management,1096.9
2015/16,ODA,Indonesia,33120,Trade facilitation,24.4
2015/16,ODA,Indonesia,33210,Tourism policy and administrative management,117.4
2015/16,ODA,Iraq,31161,Food crop production,41.6
2015/16,ODA,Iraq,31181,Agricultural education/training,17.2
2015/16,ODA,Iraq,32210,Mineral/mining policy and administrative management,200.3
2015/16,ODA,Jamaica,31163,Livestock,11.3
2015/16,ODA,Jamaica,31310,Fishing policy and administrative management,14.9
2015/16,ODA,Kenya,22040,Information and communication technology (ICT),14.9
2015/16,ODA,Kenya,25010,Business support services and institutions,363
2015/16,ODA,Kenya,31110,Agricultural policy and administrative management,39.3
2015/16,ODA,Kenya,31120,Agricultural development,174.8
2015/16,ODA,Kenya,31161,Food crop production,129.6
2015/16,ODA,Kenya,31163,Livestock,14.9
2015/16,ODA,Kenya,31181,Agricultural education/training,14.9
2015/16,ODA,Kenya,31182,Agricultural research,1544.9
2015/16,ODA,Kenya,32210,Mineral/mining policy and administrative management,50.4
2015/16,ODA,Kenya,33120,Trade facilitation,100
2015/16,ODA,Kiribati,21020,Road transport,5003.3
2015/16,ODA,Kiribati,24040,Informal/semi-formal financial intermediaries,3.7
2015/16,ODA,Kiribati,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Kiribati,25010,Business support services and institutions,636.7
2015/16,ODA,Kiribati,31110,Agricultural policy and administrative management,46
2015/16,ODA,Kiribati,31161,Food crop production,10.8
2015/16,ODA,Kiribati,31181,Agricultural education/training,46
2015/16,ODA,Kiribati,31182,Agricultural research,366.2
2015/16,ODA,Kiribati,31320,Fishery development,793.3
2015/16,ODA,Laos,23220,Hydro-electric power plants,689
2015/16,ODA,Laos,24010,Financial policy and administrative management,276.4
2015/16,ODA,Laos,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Laos,25010,Business support services and institutions,143.8
2015/16,ODA,Laos,31120,Agricultural development,115.8
2015/16,ODA,Laos,31161,Food crop production,189.4
2015/16,ODA,Laos,31181,Agricultural education/training,32.5
2015/16,ODA,Laos,31182,Agricultural research,5091.7
2015/16,ODA,Laos,31192,Plant and post-harvest protection and pest control,129.8
2015/16,ODA,Laos,31320,Fishery development,32.5
2015/16,ODA,Laos,32110,Industrial policy and administrative management,32.5
2015/16,ODA,Laos,32130,Small and medium-sized enterprises (SME) development,32.5
2015/16,ODA,Laos,32210,Mineral/mining policy and administrative management,32.5
2015/16,ODA,Laos,32220,Mineral prospection and exploration,32.5
2015/16,ODA,Laos,33110,Trade policy and administrative management,3052.8
2015/16,ODA,Laos,33181,Trade education/training,3.7
2015/16,ODA,Laos,33210,Tourism policy and administrative management,32.5
2015/16,ODA,Lebanon,24040,Informal/semi-formal financial intermediaries,45.9
2015/16,ODA,Lebanon,31194,Agricultural co-operatives,42.1
2015/16,ODA,Lesotho,24010,Financial policy and administrative management,23.4
2015/16,ODA,Lesotho,31181,Agricultural education/training,23.4
2015/16,ODA,Liberia,31161,Food crop production,50.7
2015/16,ODA,Madagascar,32130,Small and medium-sized enterprises (SME) development,38.8
2015/16,ODA,Malawi,24040,Informal/semi-formal financial intermediaries,152.8
2015/16,ODA,Malawi,31120,Agricultural development,302.4
2015/16,ODA,Malawi,31161,Food crop production,115.5
2015/16,ODA,Malawi,31181,Agricultural education/training,203.4
2015/16,ODA,Malawi,31182,Agricultural research,1138.7
2015/16,ODA,Malawi,32210,Mineral/mining policy and administrative management,50.4
2015/16,ODA,Malaysia,25010,Business support services and institutions,16.6
2015/16,ODA,Malaysia,32130,Small and medium-sized enterprises (SME) development,4.1
2015/16,ODA,Malaysia,32210,Mineral/mining policy and administrative management,2.6
2015/16,ODA,Malaysia,33110,Trade policy and administrative management,964.5
2015/16,ODA,Malaysia,33120,Trade facilitation,24.4
2015/16,ODA,Mali,31161,Food crop production,24.7
2015/16,ODA,Marshall Islands,23081,Energy education/training,18.2
2015/16,ODA,Marshall Islands,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Marshall Islands,25010,Business support services and institutions,39
2015/16,ODA,Marshall Islands,31120,Agricultural development,18.2
2015/16,ODA,Mauritius,31161,Food crop production,25.9
2015/16,ODA,Mexico,25010,Business support services and institutions,16.6
2015/16,ODA,Mexico,32130,Small and medium-sized enterprises (SME) development,4.1
2015/16,ODA,Mexico,32210,Mineral/mining policy and administrative management,2.6
2015/16,ODA,Mexico,33120,Trade facilitation,24.4
2015/16,ODA,"Micronesia, Fed. Sts.",24040,Informal/semi-formal financial intermediaries,3.7
2015/16,ODA,"Micronesia, Fed. Sts.",24081,Education/training in banking and financial services,8.6
2015/16,ODA,"Micronesia, Fed. Sts.",25010,Business support services and institutions,39
2015/16,ODA,"Micronesia, Fed. Sts.",31310,Fishing policy and administrative management,16.4
2015/16,ODA,Mongolia,22030,Radio/television/print media,32.2
2015/16,ODA,Mongolia,24040,Informal/semi-formal financial intermediaries,16.1
2015/16,ODA,Mongolia,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Mongolia,25010,Business support services and institutions,32.2
2015/16,ODA,Mongolia,31120,Agricultural development,16.1
2015/16,ODA,Mongolia,31163,Livestock,16.1
2015/16,ODA,Mongolia,31181,Agricultural education/training,16.1
2015/16,ODA,Mongolia,31182,Agricultural research,211.5
2015/16,ODA,Mongolia,31220,Forestry development,228.6
2015/16,ODA,Mongolia,32130,Small and medium-sized enterprises (SME) development,16.1
2015/16,ODA,Mongolia,32210,Mineral/mining policy and administrative management,2120.5
2015/16,ODA,Mozambique,31120,Agricultural development,254.1
2015/16,ODA,Mozambique,31182,Agricultural research,1611.6
2015/16,ODA,Myanmar,22010,Communications policy and administrative management,68.4
2015/16,ODA,Myanmar,23220,Hydro-electric power plants,689
2015/16,ODA,Myanmar,24010,Financial policy and administrative management,498.1
2015/16,ODA,Myanmar,24030,Formal sector financial intermediaries,19.6
2015/16,ODA,Myanmar,24040,Informal/semi-formal financial intermediaries,563
2015/16,ODA,Myanmar,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Myanmar,25010,Business support services and institutions,2721.1
2015/16,ODA,Myanmar,31110,Agricultural policy and administrative management,626.4
2015/16,ODA,Myanmar,31120,Agricultural development,19.6
2015/16,ODA,Myanmar,31161,Food crop production,500
2015/16,ODA,Myanmar,31166,Agricultural extension,120.6
2015/16,ODA,Myanmar,31181,Agricultural education/training,53.8
2015/16,ODA,Myanmar,31182,Agricultural research,2730.5
2015/16,ODA,Myanmar,31191,Agricultural services,55.8
2015/16,ODA,Myanmar,32130,Small and medium-sized enterprises (SME) development,39.1
2015/16,ODA,Myanmar,32182,Technological research and development,109.4
2015/16,ODA,Myanmar,33110,Trade policy and administrative management,964.5
2015/16,ODA,Myanmar,33210,Tourism policy and administrative management,39.1
2015/16,ODA,Namibia,31181,Agricultural education/training,58.8
2015/16,ODA,Nepal,23010,Energy policy and administrative management,480
2015/16,ODA,Nepal,24040,Informal/semi-formal financial intermediaries,359.1
2015/16,ODA,Nepal,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Nepal,31120,Agricultural development,750
2015/16,ODA,Nepal,31161,Food crop production,297.1
2015/16,ODA,Nepal,31166,Agricultural extension,486.9
2015/16,ODA,Nepal,31182,Agricultural research,852.7
2015/16,ODA,Nepal,32110,Industrial policy and administrative management,3199.1
2015/16,ODA,Nepal,32130,Small and medium-sized enterprises (SME) development,7961.6
2015/16,ODA,Nepal,33110,Trade policy and administrative management,41.8
2015/16,ODA,Nepal,33120,Trade facilitation,995.9
2015/16,ODA,Nepal,33122,"Trade customs duties, tariffs and levies",110.5
2015/16,ODA,Nigeria,32140,Cottage industries and handicraft,50.2
2015/16,ODA,Nigeria,32210,Mineral/mining policy and administrative management,240.4
2015/16,ODA,Oceania Unspecified,24010,Financial policy and administrative management,468.6
2015/16,ODA,Oceania Unspecified,24040,Informal/semi-formal financial intermediaries,93.1
2015/16,ODA,Oceania Unspecified,25010,Business support services and institutions,55.6
2015/16,ODA,Oceania Unspecified,31110,Agricultural policy and administrative management,1100
2015/16,ODA,Oceania Unspecified,31310,Fishing policy and administrative management,9722.8
2015/16,ODA,Oceania Unspecified,31320,Fishery development,95
2015/16,ODA,Oceania Unspecified,32130,Small and medium-sized enterprises (SME) development,44.7
2015/16,ODA,Oceania Unspecified,33120,Trade facilitation,720
2015/16,ODA,Oceania Unspecified,33122,"Trade customs duties, tariffs and levies",300
2015/16,ODA,Oceania Unspecified,33140,Multilateral trade negotiations,100
2015/16,ODA,Pakistan,23010,Energy policy and administrative management,480
2015/16,ODA,Pakistan,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Pakistan,25010,Business support services and institutions,4443.4
2015/16,ODA,Pakistan,31110,Agricultural policy and administrative management,14.1
2015/16,ODA,Pakistan,31120,Agricultural development,2891.9
2015/16,ODA,Pakistan,31140,Agricultural water resources,1554.8
2015/16,ODA,Pakistan,31166,Agricultural extension,120.6
2015/16,ODA,Pakistan,31182,Agricultural research,2263.3
2015/16,ODA,Pakistan,33181,Trade education/training,3.7
2015/16,ODA,Palestinian Territories,31120,Agricultural development,907.3
2015/16,ODA,Palestinian Territories,31191,Agricultural services,3507.3
2015/16,ODA,Palestinian Territories,31391,Fishery services,31.7
2015/16,ODA,Panama,31120,Agricultural development,37.6
2015/16,ODA,Papua New Guinea,21010,Transport policy and administrative management,69374.8
2015/16,ODA,Papua New Guinea,21020,Road transport,1714.6
2015/16,ODA,Papua New Guinea,21040,Water transport,6.2
2015/16,ODA,Papua New Guinea,22030,Radio/television/print media,162
2015/16,ODA,Papua New Guinea,23110,Energy policy and administrative management,528
2015/16,ODA,Papua New Guinea,24010,Financial policy and administrative management,4925.1
2015/16,ODA,Papua New Guinea,24040,Informal/semi-formal financial intermediaries,2098.3
2015/16,ODA,Papua New Guinea,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Papua New Guinea,25010,Business support services and institutions,2988.9
2015/16,ODA,Papua New Guinea,31110,Agricultural policy and administrative management,3087.3
2015/16,ODA,Papua New Guinea,31120,Agricultural development,74.6
2015/16,ODA,Papua New Guinea,31161,Food crop production,171.2
2015/16,ODA,Papua New Guinea,31163,Livestock,10
2015/16,ODA,Papua New Guinea,31181,Agricultural education/training,16.2
2015/16,ODA,Papua New Guinea,31182,Agricultural research,4720.9
2015/16,ODA,Papua New Guinea,31195,Livestock/veterinary services,188.6
2015/16,ODA,Papua New Guinea,31320,Fishery development,216.2
2015/16,ODA,Papua New Guinea,31381,Fishery education/training,32.4
2015/16,ODA,Papua New Guinea,32130,Small and medium-sized enterprises (SME) development,840.4
2015/16,ODA,Papua New Guinea,32140,Cottage industries and handicraft,64.8
2015/16,ODA,Papua New Guinea,32210,Mineral/mining policy and administrative management,82.8
2015/16,ODA,Papua New Guinea,33110,Trade policy and administrative management,1780.4
2015/16,ODA,Papua New Guinea,33120,Trade facilitation,2055.4
2015/16,ODA,Papua New Guinea,33210,Tourism policy and administrative management,97.2
2015/16,ODA,Paraguay,31120,Agricultural development,36.9
2015/16,ODA,Paraguay,31163,Livestock,0.5
2015/16,ODA,Paraguay,32130,Small and medium-sized enterprises (SME) development,34.4
2015/16,ODA,Paraguay,32140,Cottage industries and handicraft,34.7
2015/16,ODA,Peru,25010,Business support services and institutions,16.6
2015/16,ODA,Peru,31195,Livestock/veterinary services,21.4
2015/16,ODA,Peru,32130,Small and medium-sized enterprises (SME) development,32.6
2015/16,ODA,Peru,32210,Mineral/mining policy and administrative management,243
2015/16,ODA,Peru,33120,Trade facilitation,24.4
2015/16,ODA,Philippines,21010,Transport policy and administrative management,168.4
2015/16,ODA,Philippines,21020,Road transport,7782.1
2015/16,ODA,Philippines,22010,Communications policy and administrative management,23.2
2015/16,ODA,Philippines,22040,Information and communication technology (ICT),46.4
2015/16,ODA,Philippines,24040,Informal/semi-formal financial intermediaries,1260.6
2015/16,ODA,Philippines,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Philippines,25010,Business support services and institutions,25.6
2015/16,ODA,Philippines,31110,Agricultural policy and administrative management,672.9
2015/16,ODA,Philippines,31120,Agricultural development,162.8
2015/16,ODA,Philippines,31150,Agricultural inputs,100.6
2015/16,ODA,Philippines,31161,Food crop production,23.2
2015/16,ODA,Philippines,31181,Agricultural education/training,46.4
2015/16,ODA,Philippines,31182,Agricultural research,4880.5
2015/16,ODA,Philippines,32110,Industrial policy and administrative management,23.2
2015/16,ODA,Philippines,32130,Small and medium-sized enterprises (SME) development,216.4
2015/16,ODA,Philippines,32140,Cottage industries and handicraft,64.5
2015/16,ODA,Philippines,32182,Technological research and development,7.9
2015/16,ODA,Philippines,32210,Mineral/mining policy and administrative management,363.2
2015/16,ODA,Philippines,33110,Trade policy and administrative management,4557.1
2015/16,ODA,Philippines,33120,Trade facilitation,244.2
2015/16,ODA,Philippines,33181,Trade education/training,3.7
2015/16,ODA,Philippines,33210,Tourism policy and administrative management,46.4
2015/16,ODA,Rwanda,31182,Agricultural research,109.6
2015/16,ODA,Saint Vincent And The Grenadines,31120,Agricultural development,25
2015/16,ODA,Saint Vincent And The Grenadines,31163,Livestock,26.4
2015/16,ODA,Saint Vincent And The Grenadines,32140,Cottage industries and handicraft,29.5
2015/16,ODA,Samoa,21010,Transport policy and administrative management,6928.4
2015/16,ODA,Samoa,22040,Information and communication technology (ICT),26.7
2015/16,ODA,Samoa,23010,Energy policy and administrative management,26.7
2015/16,ODA,Samoa,23110,Energy policy and administrative management,83.1
2015/16,ODA,Samoa,24010,Financial policy and administrative management,69.2
2015/16,ODA,Samoa,24040,Informal/semi-formal financial intermediaries,257.7
2015/16,ODA,Samoa,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Samoa,25010,Business support services and institutions,2284.7
2015/16,ODA,Samoa,31182,Agricultural research,357.2
2015/16,ODA,Samoa,32110,Industrial policy and administrative management,53.4
2015/16,ODA,Samoa,33110,Trade policy and administrative management,1031.1
2015/16,ODA,Samoa,33120,Trade facilitation,32.5
2015/16,ODA,Senegal,32210,Mineral/mining policy and administrative management,160.3
2015/16,ODA,Serbia,31181,Agricultural education/training,6.5
2015/16,ODA,Serbia,32140,Cottage industries and handicraft,4.7
2015/16,ODA,Sierra Leone,31161,Food crop production,33.5
2015/16,ODA,Solomon Islands,21010,Transport policy and administrative management,1975
2015/16,ODA,Solomon Islands,21020,Road transport,5001.1
2015/16,ODA,Solomon Islands,22010,Communications policy and administrative management,79
2015/16,ODA,Solomon Islands,22030,Radio/television/print media,16.9
2015/16,ODA,Solomon Islands,22040,Information and communication technology (ICT),62.1
2015/16,ODA,Solomon Islands,23010,Energy policy and administrative management,16.9
2015/16,ODA,Solomon Islands,23220,Hydro-electric power plants,1500
